,title,author_name,publish_year,link,emotions,emotion_values,summary
10,The Adventures of Ferdinand Count Fathom — Complete,"Smollett, T. (Tobias)",1746.0,https://www.gutenberg.org/ebooks/6761.txt.utf-8,,,
11,Cranford,"Gaskell, Elizabeth Cleghorn",1837.0,https://www.gutenberg.org/ebooks/394.txt.utf-8,,,
12,The Expedition of Humphry Clinker,"Smollett, T. (Tobias)",1746.0,https://www.gutenberg.org/ebooks/2160.txt.utf-8,,,
13,The Adventures of Roderick Random,"Smollett, T. (Tobias)",1746.0,https://www.gutenberg.org/ebooks/4085.txt.utf-8,,,
14,"History of Tom Jones, a Foundling","Fielding, Henry",1730.0,https://www.gutenberg.org/ebooks/6593.txt.utf-8,,,
15,The Great Gatsby,"Fitzgerald, F. Scott (Francis Scott)",1918.0,https://www.gutenberg.org/ebooks/64317.txt.utf-8,,,
16,Twenty years after,"Dumas, Alexandre",1836.0,https://www.gutenberg.org/ebooks/1259.txt.utf-8,,,
17,My Life — Volume 1,"Wagner, Richard",1848.0,https://www.gutenberg.org/ebooks/5197.txt.utf-8,,,
18,Alice's Adventures in Wonderland,"Carroll, Lewis",1865.0,https://www.gutenberg.org/ebooks/11.txt.utf-8,,,
19,A Doll's House : a play,"Ibsen, Henrik",1867.0,https://www.gutenberg.org/ebooks/2542.txt.utf-8,,,
20,The Picture of Dorian Gray,"Wilde, Oscar",1877.0,https://www.gutenberg.org/ebooks/174.txt.utf-8,,,
21,The Importance of Being Earnest: A Trivial Comedy for Serious People,"Wilde, Oscar",1877.0,https://www.gutenberg.org/ebooks/844.txt.utf-8,,,
22,Metamorphosis,"Kafka, Franz",1903.0,https://www.gutenberg.org/ebooks/5200.txt.utf-8,,,
23,The Yellow Wallpaper,"Gilman, Charlotte Perkins",1897.0,https://www.gutenberg.org/ebooks/1952.txt.utf-8,,,
24,Crime and Punishment,"Dostoyevsky, Fyodor",1851.0,https://www.gutenberg.org/ebooks/2554.txt.utf-8,,,
25,A Tale of Two Cities,"Dickens, Charles",1841.0,https://www.gutenberg.org/ebooks/98.txt.utf-8,,,
26,The Homing Pigeon,United States. War Department,,https://www.gutenberg.org/ebooks/55084.txt.utf-8,,,
27,Dracula,"Stoker, Bram",1879.0,https://www.gutenberg.org/ebooks/345.txt.utf-8,,,
28,"A Modest Proposal: For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick","Swift, Jonathan",1706.0,https://www.gutenberg.org/ebooks/1080.txt.utf-8,,,
29,Great Expectations,"Dickens, Charles",1841.0,https://www.gutenberg.org/ebooks/1400.txt.utf-8,,,
30,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",1872.0,https://www.gutenberg.org/ebooks/43.txt.utf-8,,,
31,Jane Eyre: An Autobiography,"Brontë, Charlotte",1835.0,https://www.gutenberg.org/ebooks/1260.txt.utf-8,,,
